epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,6989.58,0.59978,2.5203,0.23313,0.36776,1.05898,0.97552,0.98143,0.99163,0.91001,0.87384,0.84439,0.86719,0.73679,0.51503,1.75074,0.04494,0.2521,0.9536,0.002971,0.002971,0.002971
73,7086.14,0.60066,2.50813,0.2306,0.36884,1.06133,0.97568,0.98132,0.99162,0.91023,0.87495,0.84504,0.8682,0.73708,0.5146,1.74862,0.04479,0.25175,0.95321,0.002872,0.002872,0.002872
74,7182.8,0.59797,2.46772,0.23028,0.36367,1.05696,0.9758,0.98138,0.99163,0.91045,0.87542,0.84516,0.86829,0.73743,0.51417,1.74477,0.04472,0.25151,0.95285,0.002773,0.002773,0.002773
75,7279.38,0.59874,2.47906,0.22983,0.36394,1.05688,0.97606,0.98148,0.99164,0.91047,0.87581,0.84554,0.86833,0.73782,0.51346,1.74107,0.04464,0.25107,0.95221,0.002674,0.002674,0.002674
76,7375.91,0.59643,2.45294,0.23053,0.365,1.05538,0.97656,0.98167,0.99168,0.91052,0.87621,0.84593,0.86918,0.73857,0.51265,1.73784,0.04455,0.25076,0.9516,0.002575,0.002575,0.002575
77,7472.59,0.59152,2.43513,0.22829,0.36051,1.05499,0.97615,0.98156,0.9917,0.91072,0.87608,0.84569,0.86897,0.73908,0.51202,1.73424,0.0444,0.25047,0.95114,0.002476,0.002476,0.002476
78,7569.68,0.58922,2.40668,0.22778,0.35867,1.05329,0.97663,0.98169,0.99172,0.91102,0.87678,0.84658,0.86904,0.73975,0.51147,1.72983,0.04426,0.25014,0.95081,0.002377,0.002377,0.002377
79,7666.2,0.58425,2.39364,0.22669,0.35797,1.0511,0.97684,0.98169,0.99174,0.91137,0.87791,0.84734,0.87029,0.74064,0.51076,1.72535,0.04412,0.24979,0.95033,0.002278,0.002278,0.002278
80,7762.75,0.57835,2.35644,0.22668,0.35534,1.04825,0.97699,0.98194,0.99173,0.91154,0.87859,0.84759,0.87068,0.74097,0.51007,1.72157,0.04403,0.24956,0.9498,0.002179,0.002179,0.002179
81,7859.25,0.58012,2.38997,0.22465,0.35214,1.0469,0.97711,0.98194,0.99173,0.91178,0.87799,0.84862,0.87064,0.74162,0.50947,1.71836,0.04387,0.24934,0.94939,0.00208,0.00208,0.00208
82,7955.87,0.57606,2.33444,0.22339,0.35071,1.04657,0.97731,0.98185,0.99174,0.91172,0.87796,0.84859,0.87075,0.74196,0.50888,1.71423,0.04372,0.24888,0.94895,0.001981,0.001981,0.001981
83,8052.52,0.57594,2.33402,0.22377,0.35048,1.04867,0.9773,0.98165,0.99172,0.91193,0.87824,0.84874,0.87095,0.74245,0.50819,1.71063,0.04358,0.24855,0.9485,0.001882,0.001882,0.001882
84,8149.17,0.57774,2.33561,0.22228,0.35043,1.04839,0.97706,0.9819,0.99174,0.91213,0.88185,0.8467,0.8719,0.74305,0.50752,1.70648,0.04348,0.24801,0.94797,0.001783,0.001783,0.001783
85,8245.95,0.5698,2.30933,0.22334,0.34226,1.04316,0.97693,0.98149,0.9917,0.91232,0.87782,0.85118,0.87245,0.74358,0.50679,1.70322,0.04333,0.24763,0.94744,0.001684,0.001684,0.001684
86,8342.12,0.57429,2.27361,0.22019,0.34543,1.04683,0.97693,0.98165,0.99175,0.91291,0.878,0.85169,0.87267,0.74501,0.50599,1.69973,0.0432,0.24743,0.94681,0.001585,0.001585,0.001585
87,8438.18,0.56612,2.27502,0.22082,0.34303,1.04335,0.97709,0.98169,0.99178,0.91311,0.8786,0.85207,0.87307,0.74556,0.50529,1.69566,0.0431,0.24706,0.9463,0.001486,0.001486,0.001486
88,8534.13,0.56759,2.25395,0.21892,0.33862,1.04356,0.97731,0.98197,0.99179,0.91315,0.88039,0.85127,0.87388,0.74703,0.50484,1.6922,0.04301,0.24651,0.94594,0.001387,0.001387,0.001387
89,8630.3,0.56194,2.21049,0.2181,0.33919,1.0414,0.97731,0.98204,0.99181,0.91321,0.88363,0.84996,0.87639,0.74797,0.50419,1.68842,0.04281,0.24611,0.94548,0.001288,0.001288,0.001288
90,8726.38,0.56313,2.23364,0.21744,0.34373,1.04293,0.97748,0.98233,0.99184,0.91333,0.88455,0.85054,0.87783,0.74879,0.50362,1.68493,0.04268,0.24584,0.9451,0.001189,0.001189,0.001189
91,8822.52,0.45639,1.63796,0.07092,0.24457,0.97729,0.97789,0.98233,0.99188,0.91351,0.88455,0.85118,0.87819,0.74963,0.50262,1.68129,0.04232,0.24541,0.94437,0.00109,0.00109,0.00109
92,8918.25,0.4491,1.595,0.06837,0.24097,0.97269,0.97794,0.98209,0.99186,0.91386,0.88422,0.85193,0.87848,0.7502,0.50164,1.67645,0.0419,0.24509,0.94368,0.000991,0.000991,0.000991
93,9014.04,0.44017,1.54819,0.06502,0.23698,0.96871,0.97825,0.98207,0.99188,0.91405,0.88434,0.85284,0.87911,0.75133,0.50059,1.67128,0.04139,0.24455,0.94289,0.000892,0.000892,0.000892
94,9109.81,0.43774,1.53306,0.06502,0.23836,0.96682,0.97818,0.98201,0.99188,0.91442,0.88414,0.85322,0.87907,0.752,0.49945,1.66566,0.04088,0.244,0.94211,0.000793,0.000793,0.000793
95,9206.1,0.432,1.49777,0.06464,0.23048,0.96303,0.97809,0.98207,0.99188,0.91511,0.88437,0.85415,0.87982,0.75267,0.49844,1.65998,0.04039,0.24354,0.94148,0.000694,0.000694,0.000694
96,9301.86,0.42682,1.47053,0.06391,0.22852,0.96068,0.9777,0.98245,0.9919,0.9154,0.88248,0.85797,0.88078,0.75331,0.49744,1.6546,0.03996,0.24289,0.94082,0.000595,0.000595,0.000595
97,9397.64,0.42373,1.456,0.06315,0.2244,0.9574,0.97745,0.98233,0.99193,0.91569,0.88382,0.85784,0.88125,0.75427,0.49638,1.64867,0.03945,0.2424,0.94003,0.000496,0.000496,0.000496
98,9493.51,0.4192,1.43367,0.06166,0.22254,0.95419,0.97682,0.98271,0.99196,0.91609,0.88798,0.85617,0.88174,0.75559,0.49525,1.6431,0.03899,0.2418,0.93919,0.000397,0.000397,0.000397
99,9589.36,0.41605,1.425,0.06176,0.21834,0.95451,0.97703,0.98271,0.99197,0.91642,0.88507,0.85835,0.88216,0.75651,0.49414,1.63785,0.0385,0.24103,0.93838,0.000298,0.000298,0.000298
100,9685.15,0.41341,1.40361,0.06141,0.21888,0.95116,0.97709,0.98319,0.99198,0.91694,0.88634,0.85822,0.88242,0.75744,0.49297,1.6327,0.03806,0.24063,0.93757,0.000199,0.000199,0.000199
